Date,Region,District,Crop,Seed_Price_Per_Kg,Fertilizer_Price_Per_Kg,Herbicide_Price_Per_Litre,Pesticide_Price_Per_Litre,Labor_Cost_Per_Day,Rainfall_Index,Soil_Fertility_Index
2018-01-01,Central,Wakiso,Sorghum,3903,2971,12312,15958,6008,57,0.86
2018-01-01,Central,Mukono,Sorghum,3268,2608,11858,17735,5393,40,0.76
2018-01-01,Central,Wakiso,Sweet Potatoes,3732,2853,13036,16663,5385,65,0.8
2018-01-01,Central,Masaka,Sweet Potatoes,3501,3170,14297,16683,5276,60,0.82
2018-01-01,Central,Mukono,Groundnuts,3683,2942,11661,15034,6484,74,0.82
2018-01-01,Central,Mukono,Sweet Potatoes,2566,2837,12383,17627,6086,75,0.82
2018-01-01,Central,Masaka,Cotton,3919,2974,12912,16468,5698,50,0.77
2018-01-01,Central,Kampala,Cotton,4138,2473,13763,17563,5440,80,0.83
2018-01-01,Central,Mukono,Soybeans,3386,2523,11576,14848,6435,48,0.79
2018-01-01,Central,Masaka,Soybeans,3594,3044,12939,18037,5315,73,0.89
2018-01-01,Central,Wakiso,Soybeans,3832,2822,12969,20701,6336,75,0.84
2018-01-01,Central,Kampala,Sunflower,3663,2825,14010,17861,5422,57,0.87
2018-01-01,Central,Wakiso,Cotton,3410,2702,14407,15464,5599,60,0.84
2018-01-01,Central,Masaka,Matooke,3331,2723,12865,16714,6061,49,0.89
2018-01-01,Central,Kampala,Matooke,4102,2545,15467,16138,4783,67,0.83
2018-01-01,Central,Wakiso,Matooke,3361,3044,9129,17418,5813,73,0.83
2018-01-01,Eastern,Mbale,Sunflower,2648,2155,12276,10988,3931,33,0.59
2018-01-01,Central,Luweero,Maize,3624,2655,11221,13388,7100,52,0.74
2018-01-01,Central,Masaka,Maize,4381,2076,8898,12943,6206,47,0.74
2018-01-01,Central,Masaka,Beans,4872,2150,10692,10470,7860,43,0.92
2018-01-01,Central,Wakiso,Beans,4152,2449,7778,10211,6041,60,0.79
2018-01-01,Central,Mukono,Beans,4118,2458,9192,10474,7577,72,0.75
2018-01-01,Central,Masaka,Coffee,6097,3058,17797,23513,8008,50,0.87
2018-01-01,Central,Luweero,Coffee,5833,3284,18293,18839,7633,61,0.72
2018-01-01,Central,Wakiso,Coffee,5229,3213,14997,18635,7566,74,0.78
2018-01-01,Central,Mukono,Rice,3434,3493,15316,16614,6003,50,0.9
2018-01-01,Central,Wakiso,Rice,4166,3076,11822,15293,6598,46,0.79
2018-01-01,Central,Masaka,Rice,2976,2972,14401,16402,6116,67,0.75
2018-01-01,Central,Kampala,Cassava,4094,2529,11846,14589,6794,54,0.76
2018-01-01,Central,Masaka,Cassava,3384,2942,14355,16324,5893,47,0.85
2018-01-01,Central,Wakiso,Cassava,3519,2566,12743,14958,5985,32,0.66
2018-01-01,Central,Wakiso,Sunflower,3792,2252,11582,14294,5168,59,0.68
2018-01-01,Central,Luweero,Sunflower,2984,3142,12047,14269,7202,54,0.88
2018-01-01,Central,Wakiso,Groundnuts,2878,2806,16005,15678,5599,51,0.69
2018-01-01,Eastern,Soroti,Sunflower,2634,2380,10905,13930,4880,43,0.83
2018-01-01,Eastern,Soroti,Groundnuts,3155,1852,10387,10446,4349,55,0.79
2018-01-01,Eastern,Mbale,Groundnuts,2852,2039,11560,13188,5325,26,0.67
2018-01-01,Eastern,Mbale,Sorghum,2753,2538,10062,13542,4790,43,0.69
2018-01-01,Eastern,Iganga,Sorghum,3272,2336,10979,12740,4585,53,0.66
2018-01-01,Eastern,Mbale,Sweet Potatoes,2939,2566,8020,12594,4908,48,0.63
2018-01-01,Eastern,Iganga,Sweet Potatoes,2965,2466,12451,12600,5692,48,0.65
2018-01-01,Eastern,Tororo,Groundnuts,2629,2173,10109,13855,4848,48,0.74
2018-01-01,Eastern,Tororo,Sweet Potatoes,3136,1963,10625,11190,5088,48,0.71
2018-01-01,Eastern,Iganga,Cotton,2806,2294,12370,13274,4833,36,0.58
2018-01-01,Eastern,Mbale,Cotton,3045,2537,11315,12957,4960,42,0.72
2018-01-01,Eastern,Mbale,Soybeans,2590,2191,10044,13084,4300,38,0.69
2018-01-01,Eastern,Soroti,Soybeans,2530,2510,10093,11458,5453,52,0.69
2018-01-01,Eastern,Jinja,Soybeans,2344,2487,11327,13677,4597,42,0.74
2018-01-01,Eastern,Tororo,Maize,3561,2209,8936,12471,5718,56,0.73
2018-01-01,Eastern,Tororo,Cotton,2826,2079,8537,14679,6128,42,0.62
2018-01-01,Eastern,Iganga,Matooke,2840,2370,11345,13044,4838,36,0.82
2018-01-01,Eastern,Soroti,Sorghum,2331,2268,8814,14606,5012,39,0.6
2018-01-01,Eastern,Tororo,Matooke,2874,2087,10468,14094,5648,38,0.79
2018-01-01,Eastern,Iganga,Maize,3417,1980,9117,9786,5616,38,0.57
2018-01-01,Eastern,Soroti,Matooke,3200,2281,10923,13693,4698,30,0.73
2018-01-01,Eastern,Jinja,Beans,3557,2044,6901,9125,4504,43,0.64
2018-01-01,Eastern,Tororo,Beans,3452,2017,6976,9640,4979,48,0.79
2018-01-01,Eastern,Iganga,Beans,3740,2014,7945,8628,4643,46,0.72
2018-01-01,Eastern,Mbale,Coffee,3479,2505,13954,15164,6326,44,0.72
2018-01-01,Eastern,Soroti,Coffee,5231,2424,13372,16480,6411,56,0.63
2018-01-01,Eastern,Iganga,Coffee,4406,2690,13511,17954,6579,37,0.71
2018-01-01,Eastern,Soroti,Maize,2677,1892,8486,10431,4668,41,0.76
2018-01-01,Eastern,Tororo,Rice,2543,2043,11890,14008,5113,57,0.75
2018-01-01,Eastern,Iganga,Rice,2484,2347,7349,11712,5156,40,0.59
2018-01-01,Eastern,Mbale,Cassava,2955,1931,11673,14089,5285,38,0.83
2018-01-01,Eastern,Tororo,Cassava,3085,2197,11536,11847,4624,27,0.69
2018-01-01,Eastern,Soroti,Cassava,2125,2306,10640,10481,5044,41,0.76
2018-01-01,Eastern,Jinja,Rice,3504,2305,10286,13519,4318,29,0.78
2018-02-01,Northern,Lira,Sorghum,2652,2470,10173,12920,5333,36,0.63
2018-02-01,Northern,Kitgum,Sorghum,2983,2181,12193,14215,5652,28,0.6
2018-02-01,Northern,Arua,Sorghum,2974,2392,10638,12047,4997,48,0.65
2018-02-01,Northern,Nebbi,Sweet Potatoes,2711,2563,9077,10979,4539,32,0.69
2018-02-01,Northern,Arua,Sweet Potatoes,3495,2345,10383,12183,5224,35,0.61
2018-02-01,Northern,Lira,Sweet Potatoes,3183,2386,9372,13955,4330,34,0.55
2018-02-01,Northern,Kitgum,Cotton,3074,2338,10557,11630,4441,24,0.63
2018-02-01,Northern,Kitgum,Soybeans,2913,1936,11427,12082,5954,36,0.64
2018-02-01,Northern,Nebbi,Cotton,3028,2461,10223,13281,4866,49,0.57
2018-02-01,Northern,Lira,Soybeans,2776,2217,9407,11601,4252,33,0.58
2018-02-01,Northern,Arua,Soybeans,2795,2514,10820,12870,5338,37,0.62
2018-02-01,Northern,Kitgum,Sunflower,2988,2022,8915,13505,4719,39,0.61
2018-02-01,Northern,Lira,Sunflower,2396,2271,11389,10933,4944,34,0.65
2018-02-01,Northern,Arua,Groundnuts,2123,2473,9989,11505,4672,48,0.56
2018-02-01,Northern,Arua,Cotton,2886,2173,9853,14094,4581,38,0.64
2018-02-01,Northern,Lira,Groundnuts,2584,2055,11767,12877,4348,36,0.65
2018-02-01,Northern,Nebbi,Maize,2948,1758,8053,10449,5603,26,0.6
2018-02-01,Northern,Lira,Matooke,2902,2248,12374,12224,5019,41,0.58
2018-02-01,Northern,Nebbi,Sunflower,3189,2563,13076,13778,5112,41,0.68
2018-02-01,Northern,Arua,Beans,4017,2126,6856,9104,5520,41,0.59
2018-02-01,Northern,Kitgum,Beans,4251,1979,7296,7882,4268,28,0.57
2018-02-01,Northern,Nebbi,Beans,3795,1786,8323,9693,5369,38,0.61
2018-02-01,Northern,Nebbi,Coffee,5237,2552,10559,14517,7486,33,0.64
2018-02-01,Northern,Arua,Coffee,4576,3069,14414,17091,6594,46,0.63
2018-02-01,Northern,Kitgum,Coffee,4761,2774,14103,15395,6703,28,0.57
2018-02-01,Northern,Kitgum,Rice,2596,2597,10767,12920,5063,38,0.72
2018-02-01,Northern,Lira,Rice,2950,2156,10210,12503,4650,29,0.6
2018-02-01,Northern,Gulu,Rice,3165,2315,9444,12986,4154,28,0.64
2018-02-01,Northern,Nebbi,Cassava,2812,2507,9061,12612,3905,45,0.6
2018-02-01,Northern,Kitgum,Cassava,2900,2092,11769,11472,5118,31,0.57
2018-02-01,Northern,Gulu,Cassava,2884,2320,10276,13807,4572,31,0.66
2018-02-01,Northern,Arua,Matooke,3080,2033,12477,11618,3951,43,0.58
2018-02-01,Northern,Nebbi,Matooke,3000,2392,11328,15357,4418,40,0.62
2018-02-01,Northern,Kitgum,Groundnuts,2805,2189,9859,13409,4638,41,0.59
2018-02-01,Western,Fort Portal,Maize,4022,2379,9782,11479,5776,75,0.56
2018-02-01,Western,Fort Portal,Sunflower,3055,2571,11450,13078,5413,97,0.71
2018-02-01,Western,Kabale,Maize,3546,2003,9738,11700,6686,116,0.68
2018-02-01,Western,Kasese,Sorghum,2922,2358,12870,12704,5029,85,0.76
2018-02-01,Western,Kabale,Sorghum,3236,2701,12233,14346,4973,90,0.77
2018-02-01,Western,Kabale,Sweet Potatoes,2935,2374,12250,13481,5650,63,0.8
2018-02-01,Western,Kasese,Sweet Potatoes,3188,2249,11495,17550,5292,69,0.71
2018-02-01,Western,Fort Portal,Sweet Potatoes,2480,2094,12131,14620,5300,109,0.77
2018-02-01,Western,Mbarara,Cotton,2904,2828,9939,15231,5909,68,0.75
2018-02-01,Western,Fort Portal,Sorghum,2645,2631,11782,13424,4963,38,0.86
2018-02-01,Western,Hoima,Cotton,2521,2310,10521,13149,5333,79,0.68
2018-02-01,Western,Hoima,Soybeans,2942,2836,11231,15310,5372,111,0.78
2018-02-01,Western,Fort Portal,Soybeans,2232,2577,9743,15807,5486,75,0.8
2018-02-01,Western,Mbarara,Soybeans,2452,2726,11456,14102,4920,61,0.72
2018-02-01,Western,Kasese,Sunflower,2932,2363,14405,11856,5913,86,0.78
2018-02-01,Western,Kabale,Sunflower,2575,2524,11338,12300,5238,92,0.61
2018-02-01,Northern,Arua,Maize,3249,2153,8119,10255,5750,36,0.61
2018-02-01,Western,Kasese,Cotton,2559,2657,10446,13102,5215,79,0.76
2018-02-01,Western,Fort Portal,Groundnuts,2989,2247,12444,14646,5483,74,0.78
2018-02-01,Western,Kasese,Groundnuts,3398,2306,9231,14073,5843,109,0.8
2018-02-01,Western,Hoima,Groundnuts,3054,2794,12043,13079,6355,81,0.73
2018-02-01,Western,Mbarara,Beans,4591,2053,9271,10230,5434,112,0.66
2018-02-01,Western,Kasese,Beans,3921,2445,8068,8372,6251,64,0.74
2018-02-01,Western,Fort Portal,Beans,4353,1922,9163,9312,4714,66,0.84
2018-02-01,Western,Hoima,Coffee,5012,3195,15021,16102,7267,115,0.71
2018-02-01,Western,Kabale,Coffee,4894,2872,12940,14194,8039,103,0.6
2018-02-01,Western,Fort Portal,Coffee,5496,2954,12653,17588,6711,113,0.84
2018-02-01,Western,Fort Portal,Rice,3355,2548,10754,12314,5176,71,0.7
2018-02-01,Western,Hoima,Rice,3305,2166,12047,14047,4756,93,0.72
2018-02-01,Western,Mbarara,Rice,3182,2816,9937,14962,5815,77,0.78
2018-02-01,Western,Kabale,Cassava,2878,2568,9398,12390,4811,99,0.8
2018-02-01,Western,Mbarara,Cassava,2786,2239,12042,12609,4648,90,0.82
2018-02-01,Western,Kasese,Cassava,3250,2731,12768,11499,5937,126,0.78
2018-02-01,Western,Kabale,Matooke,2732,2514,10517,13379,4867,77,0.83
2018-02-01,Western,Mbarara,Matooke,2786,2491,12345,14775,4604,127,0.81
2018-02-01,Western,Fort Portal,Matooke,2986,2401,11965,17391,5901,107,0.82
2018-02-01,Western,Mbarara,Maize,3684,2285,8741,9577,6608,53,0.76
2018-02-01,Northern,Gulu,Maize,2505,2404,7913,9184,6501,34,0.59
2018-02-01,Central,Mukono,Sunflower,3971,3564,14617,17314,7236,92,0.91
2018-02-01,Eastern,Jinja,Sunflower,3260,2750,11833,13595,4849,39,0.65
2018-02-01,Central,Masaka,Groundnuts,3939,3237,16892,15874,6216,97,0.83
2018-02-01,Central,Kampala,Groundnuts,3856,3429,12677,15206,7641,66,0.88
2018-02-01,Central,Mukono,Sorghum,3985,3346,12802,18089,4929,81,0.79
2018-02-01,Central,Luweero,Sorghum,3874,3297,15141,18200,5975,58,0.85
2018-02-01,Central,Kampala,Sorghum,3846,2869,17519,17749,6330,107,0.74
2018-02-01,Central,Masaka,Sweet Potatoes,4314,3088,16953,18032,7212,101,0.85
2018-02-01,Central,Wakiso,Matooke,3751,2819,13574,16566,6654,91,0.67
2018-02-01,Central,Wakiso,Sweet Potatoes,4342,3631,16934,17750,8408,74,0.72
2018-02-01,Central,Kampala,Cotton,4097,2798,14736,15325,6977,92,0.78
2018-02-01,Central,Masaka,Cotton,3639,3109,14512,17370,5848,88,0.71
2018-02-01,Central,Luweero,Cotton,4161,3496,12881,15752,5950,75,0.95
2018-02-01,Central,Luweero,Soybeans,3772,3032,13050,16489,8127,119,0.8
2018-02-01,Central,Wakiso,Soybeans,4048,2841,15688,17530,6931,82,0.8
2018-02-01,Central,Masaka,Soybeans,3613,3612,15640,21983,6340,63,0.89
2018-02-01,Central,Mukono,Sweet Potatoes,3713,3239,14107,17489,6560,121,0.82
2018-02-01,Central,Luweero,Matooke,3453,3360,17375,18199,6370,82,0.75
2018-02-01,Central,Masaka,Matooke,3780,3265,14663,18863,6006,69,0.84
2018-02-01,Central,Mukono,Cassava,4314,3144,16786,17754,5231,72,0.89
2018-02-01,Eastern,Mbale,Sunflower,3222,2550,12004,13696,5918,49,0.75
2018-02-01,Central,Mukono,Maize,3803,3022,13014,14863,7807,83,0.71
2018-02-01,Central,Kampala,Maize,4363,2884,11942,12832,6638,99,0.79
2018-02-01,Central,Masaka,Maize,4296,3055,10423,16317,7404,94,0.75
2018-02-01,Central,Mukono,Beans,5676,2306,9521,14539,7198,74,0.75
2018-02-01,Central,Kampala,Beans,4615,2768,11777,13533,7316,62,0.69
2018-02-01,Central,Wakiso,Beans,5453,2977,10681,10438,7383,74,0.76
2018-02-01,Central,Kampala,Coffee,7097,3230,22610,22437,11005,58,0.81
2018-02-01,Central,Mukono,Coffee,6481,3489,16634,21579,7175,85,0.67
2018-02-01,Central,Wakiso,Coffee,5957,3698,19391,24790,9540,84,0.86
2018-02-01,Central,Masaka,Rice,4455,2687,14551,16142,6421,80,0.66
2018-02-01,Central,Kampala,Rice,3465,3148,13654,17202,6831,86,0.79
2018-02-01,Central,Luweero,Rice,3888,3335,13317,17710,6610,53,0.88
2018-02-01,Central,Kampala,Cassava,3705,3025,13120,18208,6647,87,0.85
2018-02-01,Central,Wakiso,Cassava,3444,3050,16586,19272,5763,66,0.62
2018-02-01,Central,Masaka,Sunflower,3694,2908,16858,18339,7029,70,0.8
2018-02-01,Central,Luweero,Sunflower,3372,2969,12675,17516,6303,69,0.86
2018-02-01,Central,Mukono,Groundnuts,3824,2710,16035,18215,7048,102,0.8
2018-02-01,Eastern,Jinja,Maize,3435,2094,7948,12227,6204,73,0.72
2018-02-01,Eastern,Iganga,Groundnuts,3021,2544,11883,12804,5646,68,0.73
2018-02-01,Eastern,Mbale,Groundnuts,3378,2579,13516,11346,5928,50,0.81
2018-02-01,Eastern,Jinja,Sorghum,3346,2722,9949,13700,5025,44,0.67
2018-02-01,Eastern,Tororo,Sorghum,3536,2199,12362,17604,4910,62,0.78
2018-02-01,Eastern,Mbale,Sorghum,3152,2480,9437,15051,6363,58,0.63
2018-02-01,Eastern,Soroti,Sweet Potatoes,3285,2399,11510,15758,4951,32,0.62
2018-02-01,Eastern,Soroti,Groundnuts,3351,2781,10862,14048,4185,46,0.69
2018-02-01,Eastern,Mbale,Sweet Potatoes,3404,2550,11816,13539,5551,30,0.8
2018-02-01,Eastern,Tororo,Cotton,2974,2554,11677,16560,5353,60,0.64
2018-02-01,Eastern,Mbale,Cotton,3035,2198,10334,15777,5798,81,0.77
2018-02-01,Eastern,Iganga,Cotton,3435,2597,12208,13896,5035,62,0.7
2018-02-01,Eastern,Soroti,Soybeans,2745,2108,9841,13624,5708,61,0.65
2018-02-01,Eastern,Tororo,Soybeans,3035,2401,11278,12531,5135,62,0.69
2018-02-01,Eastern,Mbale,Soybeans,3535,2760,12041,12164,5680,65,0.73
2018-02-01,Eastern,Tororo,Sweet Potatoes,3625,2873,13773,14402,5480,48,0.68
2018-02-01,Eastern,Jinja,Matooke,3351,2600,12493,13328,5946,41,0.75
2018-02-01,Eastern,Soroti,Sunflower,3469,2853,12418,12455,5421,69,0.81
2018-02-01,Eastern,Soroti,Matooke,3333,2783,11083,15327,5678,45,0.66
2018-02-01,Eastern,Mbale,Matooke,3845,2712,12191,14484,4774,64,0.67
2018-02-01,Eastern,Iganga,Maize,3118,2488,8517,9533,7364,55,0.8
2018-02-01,Eastern,Mbale,Beans,3862,2212,8573,8782,5109,47,0.79
2018-02-01,Eastern,Soroti,Beans,4448,2048,9211,8879,4484,65,0.77
2018-02-01,Eastern,Jinja,Beans,3750,2095,9653,9332,7053,56,0.68
2018-02-01,Eastern,Tororo,Coffee,4486,3040,15806,16102,6163,71,0.66
2018-02-01,Eastern,Iganga,Coffee,5277,2571,15742,18190,7778,52,0.77
2018-02-01,Eastern,Mbale,Maize,3393,2019,8900,10575,6270,45,0.69
2018-02-01,Eastern,Tororo,Rice,3080,2878,13830,15903,4624,57,0.72
2018-02-01,Eastern,Mbale,Rice,3707,2825,12099,14443,6050,75,0.77
2018-02-01,Eastern,Soroti,Rice,3590,2476,10590,15411,4927,54,0.66
2018-02-01,Eastern,Soroti,Cassava,3121,2683,12143,14797,5638,62,0.7
2018-02-01,Eastern,Mbale,Cassava,2901,2215,13623,15181,5613,46,0.67
2018-02-01,Eastern,Jinja,Cassava,3377,2584,10595,15998,6045,53,0.71
2018-02-01,Eastern,Jinja,Coffee,5040,2432,14380,16655,6969,56,0.77
2018-03-01,Northern,Lira,Sorghum,2424,2171,9543,14202,5069,87,0.63
2018-03-01,Northern,Nebbi,Sorghum,2797,2377,11718,12794,4831,82,0.75
2018-03-01,Northern,Arua,Sorghum,2869,2284,11742,13967,4481,107,0.74
2018-03-01,Northern,Nebbi,Sweet Potatoes,2733,2314,10668,9964,5130,71,0.57
2018-03-01,Northern,Nebbi,Sunflower,2987,2079,10247,10229,4694,68,0.64
2018-03-01,Northern,Kitgum,Sweet Potatoes,2697,2097,13113,13774,4807,67,0.56
2018-03-01,Northern,Arua,Sweet Potatoes,2918,1896,10047,13392,4769,64,0.7
2018-03-01,Northern,Gulu,Cotton,2717,1640,10677,10055,5740,90,0.58
2018-03-01,Northern,Arua,Cotton,2861,2692,9989,12650,5411,86,0.55
2018-03-01,Northern,Lira,Soybeans,2802,2576,10899,12746,4908,92,0.56
2018-03-01,Northern,Nebbi,Soybeans,2806,2174,8841,14992,4779,83,0.53
2018-03-01,Northern,Kitgum,Soybeans,3137,2396,9302,13830,4703,74,0.59
2018-03-01,Northern,Gulu,Sunflower,2732,1983,12411,14415,5207,87,0.64
2018-03-01,Northern,Nebbi,Groundnuts,2939,2665,10391,13217,3577,78,0.58
2018-03-01,Northern,Lira,Cotton,2522,2739,8757,11275,5054,86,0.64
2018-03-01,Northern,Gulu,Groundnuts,2528,2261,8909,14396,5081,119,0.5
2018-03-01,Northern,Gulu,Rice,2816,2543,9817,11251,5583,76,0.61
2018-03-01,Northern,Nebbi,Matooke,2909,2045,10068,13325,5190,86,0.69
2018-03-01,Northern,Kitgum,Sunflower,2723,2520,10763,10450,5161,82,0.61
2018-03-01,Northern,Kitgum,Maize,2980,2010,8658,11775,5747,88,0.65
2018-03-01,Northern,Arua,Beans,3434,1853,9322,6640,5445,69,0.69
2018-03-01,Northern,Kitgum,Beans,4379,1931,8693,8571,5579,65,0.64
2018-03-01,Northern,Nebbi,Beans,3309,2279,6048,8985,4740,90,0.57
2018-03-01,Northern,Arua,Coffee,4071,2356,11502,16224,6280,94,0.63
2018-03-01,Northern,Lira,Coffee,5006,2750,12665,16640,6815,66,0.59
2018-03-01,Northern,Kitgum,Coffee,4355,2789,14520,14761,6173,91,0.62
2018-03-01,Northern,Kitgum,Rice,3123,2191,8122,14042,5223,51,0.5
2018-03-01,Northern,Arua,Rice,2817,1949,10759,13503,6289,61,0.59
2018-03-01,Northern,Lira,Cassava,2571,2609,9401,14343,4669,91,0.58
2018-03-01,Northern,Gulu,Cassava,2760,2583,10089,14953,4718,72,0.49
2018-03-01,Northern,Arua,Cassava,2423,2097,10449,11643,4783,69,0.59
2018-03-01,Northern,Arua,Matooke,2966,2298,8659,11933,5389,73,0.66
2018-03-01,Northern,Kitgum,Matooke,2418,2529,13133,13012,4824,73,0.58
2018-03-01,Northern,Lira,Groundnuts,3434,2343,10357,13773,5113,75,0.66
2018-03-01,Western,Hoima,Maize,3192,2506,8196,10479,6112,147,0.84
